pub_number cit_number
US-2017074955-A1 US-5348010-A
US-2018320952-A1 US-2004194253-A1
US-2018265284-A1 US-2016286637-A1
US-2018054169-A1 US-2007272825-A1
US-2018070452-A1 US-2010168774-A1
US-2015358223-A1 US-2018023503-A1
US-2018065345-A1 US-2018190840-A1
US-2017027372-A1 US-2010227812-A1
US-2018024658-A1 US-2015083154-A1
US-2018140924-A1 US-4796892-A
US-2016309526-A1 US-2010034171-A1
US-2014319727-A1 US-2008020835-A1
US-2017156658-A1 US-2003158585-A1
US-2017231593-A1 US-8615118-B2
US-2018003576-A1 US-2008264175-A1
US-2014142935-A1 US-2007055508-A1
US-2015113718-A1 US-2016290629-A1
US-2018224458-A1 US-2018020807-A1
US-2017028135-A1 US-2018069086-A1
US-2017114254-A1 US-2017204223-A1
US-2018065904-A1 US-2010009988-A1
US-2018112597-A1 US-2018372483-A1
US-2019041593-A1 US-2014011347-A1
US-2018170744-A1 US-2018290589-A1
US-2017070726-A1 US-2010015452-A1
US-2015174635-A1 US-2016215875-A1
US-2017001455-A1 US-5748214-A
US-2017323976-A1 US-2018366149-A1
US-2017224326-A1 US-2011270278-A1
US-2017059698-A1 US-2018229203-A1
US-2017222447-A1 US-5833693-A
US-2016101361-A1 US-6877096-B1
US-2015351835-A1 US-5465717-A
US-2017080211-A1 US-6116413-A
US-10261555-B1 US-2017322098-A1
US-2015045389-A1 US-2011230504-A1
US-2018123865-A1 US-8177606-B2
US-2016324617-A1 US-6478803-B1
US-2017312303-A1 US-7655774-B2
US-2017179126-A1 US-5742902-A
US-2017344328-A1 US-2019058761-A1
US-2018037026-A1 US-2016045095-A1
US-2016072082-A1 US-2012022363-A1
US-2017015451-A1 US-2013284033-A1
US-2019126917-A1 US-2018016238-A1
US-2015144398-A1 US-2007024370-A1
US-2017362548-A1 US-2006293204-A1
US-2017086106-A1 US-2018030154-A1
US-2019034573-A1 US-2016235879-A1
US-2017360569-A1 US-2016143749-A1
US-2017132549-A1 US-2014200941-A1
US-2017102125-A1 US-2016363747-A1
US-2019163876-A1 US-2014330579-A1
US-2014174482-A1 US-2011000507-A1
US-2017365707-A1 US-7573640-B2
US-2016179943-A1 US-2017153349-A1
US-2018239155-A1 US-8534896-B2
US-2014333581-A1 US-2013300696-A1
US-2016117079-A1 US-2014324873-A1
US-2018120754-A1 US-2015349126-A1
US-2017146620-A1 US-2015268321-A1
US-2019128505-A1 US-2009000122-A1
US-2019110108-A1 US-2006091706-A1
US-2017079339-A1 US-6332825-B1
US-2018229105-A1 US-2011059982-A1
US-2017017352-A1 US-2019215881-A1
US-2018338421-A1 US-2010045800-A1
US-2018098610-A1 US-2017013925-A1
US-2016200041-A1 US-2018093207-A1
US-2018290060-A1 US-2011118009-A1
US-2017330770-A1 US-2013193288-A1
US-2017000943-A1 US-2007010613-A1
US-2018133613-A1 US-2004242118-A1
US-2016372310-A1 US-2012109128-A1
US-2017029628-A1 US-2017068771-A1
US-2016034899-A1 US-2016229022-A1
US-2017049946-A1 US-2012174756-A1
US-2017166374-A1 US-5919074-A
US-2018126215-A1 US-6368257-B1
US-2016340557-A1 US-2002016268-A1
US-2017372491-A1 US-2017005340-A9
US-2017110068-A1 US-2015022329-A1
US-2015113955-A1 US-2009301437-A1
US-2017298957-A1 US-2015024710-A1
US-2018361359-A1 US-2015314024-A1
US-2018032027-A1 US-2014021973-A1
US-2017278471-A1 US-2016292582-A1
US-2014371546-A1 US-2012116235-A1
US-2018006008-A1 US-2015069142-A1
US-2018070872-A1 US-2018071762-A1
US-2018035552-A1 US-2008266821-A1
US-2017008010-A1 US-9044761-B2
US-2015216490-A1 US-2018289478-A1
US-2017121670-A1 US-2015360202-A1
US-2018300662-A1 US-2014116341-A1
US-2018149800-A1 US-2017261678-A1
US-2016136116-A1 US-2018325246-A1
US-2016317915-A1 US-2018101290-A1
US-2018213228-A1 US-2016183845-A1
US-2018368081-A1 US-2014016576-A1
US-2017240708-A1 US-2011159903-A1
US-2018020688-A1 US-9142481-B2
US-2018263608-A1 US-2012022554-A1
US-2018011063-A1 US-2006289666-A1
US-2017013682-A1 US-6290898-B1
US-2018228078-A1 US-7996045-B1
US-2017068031-A1 US-2014087867-A1
US-2017175576-A1 US-2006146473-A1
US-2016256507-A1 US-2005084216-A1
US-2016374537-A1 US-2017244151-A1
US-2016054997-A1 US-6488828-B1
US-2017197115-A1 US-2012259648-A1
US-2016007879-A1 US-2019080840-A1
US-2015149443-A1 US-8087880-B2
US-2018082808-A1 US-2015211354-A1
US-2016108008-A1 US-2009015201-A1
US-2017153432-A1 US-2017264126-A1
US-2017069288-A1 US-2016035351-A1
US-2017373304-A1 US-2013149567-A1
US-2016038540-A1 US-2012002242-A1
US-2018156563-A1 US-2018131706-A1
US-2017018495-A1 US-2004001953-A1
US-2019104230-A1 US-2008184928-A1
US-2017278178-A1 US-2008301009-A1
US-2019131695-A1 US-2015369851-A1
US-2017165049-A1 US-4313433-A
US-2017285390-A1 US-6780016-B1
US-2018079126-A1 US-6627134-B2
US-2017188985-A1 US-2015105706-A1
US-2018079914-A1 US-2017199712-A1
US-2016228146-A1 US-2018006135-A1
US-2016009399-A1 US-4523517-A
US-2016278630-A1 US-2014000974-A1
US-2017219185-A1 US-2016109099-A1
US-2017061251-A1 US-8235529-B1
US-2018272439-A1 US-6604894-B1
US-2019025502-A1 US-2016347346-A1
US-2016128762-A1 US-2005035682-A1
US-2015305654-A1 US-2019103382-A1
US-2019013427-A1 US-2012305184-A1
US-2016249498-A1 US-2016038327-A1
US-2013096612-A1 US-2018286859-A1
US-2018088163-A1 US-2019137168-A1
US-2016089230-A1 US-5375726-A
US-2017033635-A1 US-2019001734-A1
US-2016131050-A1 US-8143732-B2
US-2017056000-A1 US-2004015997-A1
US-2017154118-A1 US-2014234716-A1
US-2018268468-A1 US-2014143086-A1
US-2017298739-A1 US-2010024344-A1
US-2018172864-A1 US-2017299788-A1
US-2016245052-A1 US-9745838-B2
US-2017109884-A1 US-2014111623-A1
US-2016290509-A1 US-9360115-B2
US-2018129293-A1 US-2018358392-A1
US-2018368101-A1 US-2009219844-A1
US-2014375304-A1 US-2018047954-A1
US-2016279730-A1 US-2018273830-A1
US-2016309874-A1 US-2011023924-A1
US-2017200880-A1 US-2001015123-A1
US-2017295428-A1 US-2009271133-A1
US-2018164576-A1 US-2004055891-A1
US-2017282030-A1 US-4134407-A
US-2014092047-A1 US-2018068808-A1
US-2018029936-A1 US-2019116466-A1
US-2017259587-A1 US-6457888-B1
US-2018334090-A1 US-2016348744-A1
US-2017332992-A1 US-2016175575-A1
US-2015075672-A1 US-6868719-B1
US-2017031131-A1 US-2016301875-A1
US-2017062809-A1 US-2014019959-A1
US-2017188015-A1 US-2014011262-A1
