pub_number,cit_number
US-2019175717-A1,US-7807622-B2
US-2019169094-A1,US-5003119-A
US-2019174614-A1,US-2013075625-A1
US-2019174036-A1,US-2012082441-A1
US-2019174036-A1,US-2011123189-A1
US-2019167564-A1,US-2010026069-A1
US-2019169936-A1,US-2002159840-A1
US-2019174053-A1,US-2008267601-A1
US-2019174091-A1,US-2010111489-A1
US-2019165600-A1,US-2014091756-A1
US-2019165249-A1,US-2011057873-A1
US-2019166318-A1,US-2002085105-A1
US-2019165288-A1,US-2014254111-A1
US-2019165970-A1,US-2014006347-A1
US-2019165970-A1,US-2014153489-A1
US-2019163050-A1,US-2007265725-A1
US-2019165970-A1,US-2009028141-A1
US-2019222222-A1,US-2013194121-A1
US-2019160441-A1,US-2008248436-A1
US-2019160448-A1,US-5217703-A
US-2019164571-A1,US-2015170675-A1
US-2019159010-A1,US-2013304488-A1
US-2019153590-A1,US-8514673-B1
US-2019155208-A1,US-2010129118-A1
US-2019155209-A1,US-2010129118-A1
US-2019155210-A1,US-2010129118-A1
US-2019152380-A1,US-2016297351-A1
US-2019150990-A1,US-9492204-B2
US-2019172386-A1,US-2014253532-A1
US-2019159290-A1,US-2015276196-A1
US-2019150990-A1,US-2012209336-A1
US-2019155570-A1,US-2011153324-A1
US-2019157268-A1,US-9257325-B2
US-2019171325-A1,US-2006256090-A1
US-2019154466-A1,US-6867583-B2
US-2019153731-A1,US-6493994-B1
US-2019155405-A1,US-2016166333-A1
US-2019150515-A1,US-2015064978-A1
US-2019159322-A1,US-2014035482-A1
US-2019157801-A1,US-7549885-B1
US-2019155406-A1,US-2006012581-A1
US-2019179303-A1,US-2018181117-A1
US-2019157669-A1,US-2009111020-A1
US-2019159079-A1,US-2013260811-A1
US-2019155443-A1,US-2011227848-A1
US-2019158946-A1,US-2010217099-A1
US-2019153735-A1,US-2016102469-A1
US-2019174009-A1,US-2017079087-A1
US-2019151335-A1,US-2012022121-A1
US-2019156637-A1,US-2014149242-A1
US-2019154634-A1,US-7595636-B2
US-2019152420-A1,US-6390549-B1
US-2019152420-A1,US-5902010-A
US-2019149968-A1,US-2018077552-A1
US-2019158657-A1,US-2017094534-A1
US-2019151112-A1,US-2015328005-A1
US-2019149153-A1,US-6885238-B2
US-2019153239-A1,US-2016194501-A1
US-2019172602-A1,US-2016096967-A1
US-2019153239-A1,US-2015072161-A1
US-2019153239-A1,US-2012025142-A1
US-2019153239-A1,US-2007048550-A1
US-2019154424-A1,US-2005189371-A1
US-10376059-B1,US-2018080485-A1
US-2019149253-A1,US-2015312784-A1
US-2019143618-A1,US-8986592-B2
US-2019144762-A1,US-2008217211-A1
US-2019144762-A1,US-4169782-A
US-2019142468-A1,US-2007270813-A1
US-2019142751-A1,US-2004241855-A1
US-2019145574-A1,US-7163181-B2
US-2019145732-A1,US-5421497-A
US-2019146360-A1,US-2004257544-A1
US-2019164854-A1,US-2015228799-A1
US-2019145604-A1,US-2015219966-A1
US-2019148426-A1,US-2014091378-A1
US-2019154234-A1,US-2012069248-A1
US-2019148426-A1,US-2009140122-A1
US-2019149585-A1,US-2008013706-A1
US-2019143998-A1,US-2009187322-A1
US-2019148425-A1,US-2009140122-A1
US-2019147809-A1,US-2008012318-A1
US-2019140875-A1,US-2016278013-A1
US-2019141532-A1,US-2013225123-A1
US-2019150105-A1,US-2014036715-A1
US-2019209365-A1,US-2012031405-A1
US-2019144312-A1,US-2008156739-A1
US-2019144312-A1,US-2008067134-A1
US-2019141541-A1,US-7813329-B2
US-2019144312-A1,US-2006043011-A1
US-2019134062-A1,US-8476254-B2
US-2019137905-A1,US-5446478-A
US-2019138767-A1,US-2012080944-A1
US-2019171310-A1,US-2012062490-A1
US-2019139465-A1,US-8007127-B2
US-2019137085-A1,US-2007230174-A1
US-2019139570-A1,US-5105413-A
US-2019141178-A1,US-2014376758-A1
US-2019138148-A1,US-2013050116-A1
US-2019137081-A1,US-2012086340-A1
US-2019139027-A1,US-2010213262-A1
US-2019137811-A1,US-2010208171-A1
US-2019217076-A1,US-2017333680-A1
US-2019138859-A1,US-8423431-B1
US-2019138084-A1,US-2008238954-A1
US-2019137888-A1,US-2008003069-A1
US-2019217076-A1,US-4340052-A
US-2019141471-A1,US-2013191397-A1
US-2019138109-A1,US-2013147833-A1
US-2019224530-A1,US-2012238421-A1
US-2019140090-A1,US-2012049294-A1
US-2019140009-A1,US-2010176474-A1
US-10383482-B1,US-2018146826-A1
US-2019137696-A1,US-2017031530-A1
US-10413105-B1,US-2016045076-A1
US-2019139112-A1,US-2014089039-A1
US-10413105-B1,US-2014031888-A1
US-2019134423-A1,US-2013182822-A1
US-10413105-B1,US-6383531-B1
US-2019216576-A1,US-10145747-B1
US-2019216576-A1,US-2016331477-A1
US-10353908-B1,US-2018018429-A1
US-2019139606-A1,US-2013148409-A1
US-2019138545-A1,US-8649972-B2
US-2019137078-A1,US-2013038847-A1
US-2019140781-A1,US-2011032897-A1
US-2019202531-A1,US-2007166107-A1
US-2019167597-A1,US-7141250-B2
US-2019136117-A1,US-3827499-A
US-2019136118-A1,US-3827499-A
US-2019259444-A1,US-2018158494-A1
US-2019202325-A1,US-10166900-B2
US-2019259444-A1,US-2016358640-A1
US-2019166459-A1,US-2015187192-A1
US-2019202325-A1,US-9896003-B2
US-2019131254-A1,US-2010327432-A1
US-2019151034-A1,US-9186046-B2
US-2019130973-A1,US-2006256424-A1
US-2019131254-A1,US-7372151-B1
US-2019202325-A1,US-5772281-A
US-2019129111-A1,US-5434941-A
US-2019130939-A1,US-4695990-A
US-2019129111-A1,US-4166668-A
US-2019271204-A1,US-2017247969-A1
US-2019132275-A1,US-2014289327-A1
US-2019129528-A1,US-2014005540-A1
US-2019129527-A1,US-2014005540-A1
US-2019125674-A1,US-2011133951-A1
US-2019130159-A1,US-2009103788-A1
US-2019129842-A1,US-2010023672-A1
US-2019135717-A1,US-2017226032-A1
US-2019135717-A1,US-2014256995-A1
US-2019135717-A1,US-2012053374-A1
US-2019143865-A1,US-5738413-A
US-2019128473-A1,US-4032244-A
US-2019129182-A1,US-2018348527-A1
US-2019129184-A1,US-2018372940-A1
US-2019128491-A1,US-2015049387-A1
US-2019118743-A1,US-6182807-B1
US-2019115055-A1,US-9438211-B1
US-2019122621-A1,US-2015379947-A1
US-2019116668-A1,US-2014182891-A1
US-2019197812-A1,US-2014069770-A1
US-2019115055-A1,US-8718216-B2
US-2019115055-A1,US-2012063252-A1
US-2019141677-A1,US-2011249578-A1
US-2019121282-A1,US-2011176839-A1
US-2019115203-A1,US-2012050704-A1
US-10440759-B1,US-2010241926-A1
US-2019116668-A1,US-2009056999-A1
US-2019132580-A1,US-2009030333-A1
US-2019113882-A1,US-2005232669-A1
US-2019115055-A1,US-7411420-B2
US-2019121184-A1,US-2004233362-A1
US-2019116668-A1,US-7045719-B1
US-2019115055-A1,US-6744284-B2
US-2019140606-A1,US-6316970-B1
US-2019135633-A1,US-5396882-A
US-2019121700-A1,US-2015378415-A1
US-2019120038-A1,US-2015192005-A1
US-2019121288-A1,US-2015050044-A1
US-2019123760-A1,US-2014203958-A1
US-2019200190-A1,US-2013238441-A1
US-2019120038-A1,US-2012318498-A1
US-2019123644-A1,US-2011148379-A1
US-2019123645-A1,US-2011148379-A1
US-2019146104-A1,US-2009296871-A1
US-10398629-B1,US-5069206-A
US-2019122067-A1,US-2017337438-A1
US-2019122920-A1,US-2017022201-A1
US-2019230787-A1,US-2016071807-A1
US-2019124615-A1,US-2013279435-A1
US-2019148869-A1,US-8903459-B2
US-2019122833-A1,US-8790331-B2
US-2019230787-A1,US-2011067904-A1
US-2019230787-A1,US-2011230146-A1
US-2019148869-A1,US-7559811-B1
US-2019185347-A1,US-2007284295-A1
US-2019148436-A1,US-2004095495-A1
US-2019121244-A1,US-2004007589-A1
US-2019225755-A1,US-5608115-A
US-2019126956-A1,US-9434397-B2
US-2019122532-A1,US-2014095201-A1
US-2019122532-A1,US-2013218959-A1
US-2019124130-A1,US-2012013746-A1
US-2019117866-A1,US-2011009797-A1
US-2019117018-A1,US-2009308373-A1
US-2019119986-A1,US-7909106-B2
US-2019139712-A1,US-8064191-B2
US-2019121449-A1,US-2008204404-A1
US-2019149657-A1,US-2008005325-A1
US-2019126956-A1,US-6573832-B1
US-2019188910-A1,US-2017160815-A1
US-2019121286-A1,US-2015277368-A1
US-2019122605-A1,US-2014085170-A1
US-2019119467-A1,US-2010130661-A1
US-2019139945-A1,US-2006002146-A1
US-2019197380-A1,US-6268796-B1
US-2019117080-A1,US-2015057562-A1
US-2019122825-A1,US-2015371778-A1
US-2019130944-A1,US-9223136-B1
US-2019105375-A1,US-9090691-B2
US-2019121145-A1,US-2011102758-A1
US-2019119128-A1,US-2011017584-A1
US-2019130944-A1,US-2008003686-A1
US-2019119949-A1,US-2006112747-A1
US-2019130944-A1,US-6563532-B1
US-2019119576-A1,US-5807952-A
US-2019118875-A1,US-4659102-A
US-2019118803-A1,US-2014033689-A1
US-2019120010-A1,US-8776891-B2
US-2019111716-A1,US-2011036255-A1
US-2019112996-A1,US-2010231371-A1
US-2019126071-A1,US-7020315-B2
US-2019115450-A1,US-5757045-A
US-2019125501-A1,US-2012009246-A1
US-10325404-B1,US-7605812-B2
US-10325418-B1,US-7605812-B2
US-2019110594-A1,US-4955743-A
US-2019126917-A1,US-2018016238-A1
US-10403492-B1,US-9837270-B1
US-10403492-B1,US-2016079062-A1
US-2019111485-A1,US-2015027669-A1
US-2019111485-A1,US-2014360698-A1
US-2019106244-A1,US-2011139665-A1
US-2019115097-A1,US-2009240528-A1
US-2019179430-A1,US-2006007145-A1
US-2019115791-A1,US-2017077736-A1
US-2019182617-A1,US-2015050888-A1
US-2019106313-A1,US-2016005824-A1
US-2019106640-A1,US-2015329790-A1
US-2019109751-A1,US-2014169297-A1
US-2019109347-A1,US-2014012759-A1
US-2019109544-A1,US-2013003299-A1
US-2019175440-A1,US-8622890-B1
US-2019217116-A1,US-2011224571-A1
US-2019114269-A1,US-2012020337-A1
US-2019108755-A1,US-2004215393-A1
US-2019107386-A1,US-7184368-B2
US-2019109619-A1,US-2004068724-A1
US-2019112542-A1,US-6677282-B2
US-2019175858-A1,US-5377671-A
US-2019087360-A1,US-5159672-A
US-2019112892-A1,US-4194561-A
US-2019115265-A1,US-2004245571-A1
US-2019191239-A1,US-2017289667-A1
US-2019179041-A1,US-9910170-B1
US-2019108478-A1,US-2017158430-A1
US-2019108000-A1,US-2015355886-A1
US-2019179041-A1,US-2017184736-A1
US-2019106122-A1,US-2013018549-A1
